03-06 23:20 INFO     b'HTTP/1.1 404 Not Found\r\nContent-Type: text/html; charset=UTF-8\r\nDate: Mon, 07 Mar 2016 07:20:20 GMT\r\nServer: gws\r\nContent-Length: 1561\r\nX-XSS-Protection: 1; mode=block\r\nX-Frame-Options: SAMEORIGIN\r\n\r\n<!DOCTYPE html>\n<html lang=en>\n  <meta charset=utf-8>\n  <meta name=viewport content="initial-scale=1, minimum-scale=1, width=device-width">\n  <title>Error 404 (Not Found)!!1</title>\n  <style>\n    *{margin:0;padding:0}html,code{font:15px/22px arial,sans-serif}html{background:#fff;color:#222;padding:15px}body{margin:7% auto 0;max-width:390px;min-height:180px;padding:30px 0 15px}* > body{background:url(//www.google.com/images/errors/robot.png) 100% 5px no-repeat;padding-right:205px}p{margin:11px 0 22px;overflow:hidden}ins{color:#777;text-decoration:none}a img{border:0}@media screen and (max-width:772px){body{background:none;margin-top:0;max-width:none;padding-right:0}}#logo{background:url(//www.google.com/images/branding/googlelogo/1x/googlelogo_color_150x54dp.png) no-repeat;margin-left:-5px}@media only screen and (min-resolution:192dpi){#logo{background:url(//www.google.com/images/branding/googlelogo/2x/googlelogo_color_150x54dp.png) no-repeat 0% 0%/100% 100%;-moz-border-image:url(//www.google.com/images/branding/googlelogo/2x/googlelogo_color_150x54dp.png) 0}}@media only screen and (-webkit-min-device-pixel-ratio:2){#logo{background:url(//www.google.com/images/branding/googlelogo/2x/googlelogo_color_150x54dp.png) no-repeat;-webkit-background-size:100% 100%}}#logo{display:inline-block;height:54px;width:150px}\n  </style>\n  <a href=//www.google.com/><span id=logo aria-label=Google></span></a>\n  <p><b>404.</b> <ins>That\xe2\x80\x99s an error.</ins>\n  <p>The requested URL <code>/</code> was not found on this server.  <ins>That\xe2\x80\x99s all we know.</ins>\n'
03-06 23:20 INFO     b'GET http://www.google.com HTTP/1.1\r\nUser-Agent: Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/32.0.1700.102 Safari/537.36\r\nHost: www.google.com\r\nConnection: Keep-Alive\r\nAccept-Encoding: gzip\r\n\r\n'
03-06 23:20 INFO     b'CONNECT ssl.google-analytics.com:443 HTTP/1.1\r\nUser-Agent: Apache-HttpClient/UNAVAILABLE (java 1.4)\r\nHost: ssl.google-analytics.com\r\n\r\n'
03-06 23:20 WARNING  b'NONE: CONNECT ssl.google-analytics.com:443 HTTP/1.1\r\nUser-Agent: Apache-HttpClient/UNAVAILABLE (java 1.4)\r\nHost: ssl.google-analytics.com\r\n\r\n'
03-06 23:20 INFO     b'HTTP/1.1 404 Not Found\r\nContent-Type: text/html; charset=UTF-8\r\nDate: Mon, 07 Mar 2016 07:20:21 GMT\r\nServer: gws\r\nContent-Length: 1561\r\nX-XSS-Protection: 1; mode=block\r\nX-Frame-Options: SAMEORIGIN\r\n\r\n<!DOCTYPE html>\n<html lang=en>\n  <meta charset=utf-8>\n  <meta name=viewport content="initial-scale=1, minimum-scale=1, width=device-width">\n  <title>Error 404 (Not Found)!!1</title>\n  <style>\n    *{margin:0;padding:0}html,code{font:15px/22px arial,sans-serif}html{background:#fff;color:#222;padding:15px}body{margin:7% auto 0;max-width:390px;min-height:180px;padding:30px 0 15px}* > body{background:url(//www.google.com/images/errors/robot.png) 100% 5px no-repeat;padding-right:205px}p{margin:11px 0 22px;overflow:hidden}ins{color:#777;text-decoration:none}a img{border:0}@media screen and (max-width:772px){body{background:none;margin-top:0;max-width:none;padding-right:0}}#logo{background:url(//www.google.com/images/branding/googlelogo/1x/googlelogo_color_150x54dp.png) no-repeat;margin-left:-5px}@media only screen and (min-resolution:192dpi){#logo{background:url(//www.google.com/images/branding/googlelogo/2x/googlelogo_color_150x54dp.png) no-repeat 0% 0%/100% 100%;-moz-border-image:url(//www.google.com/images/branding/googlelogo/2x/googlelogo_color_150x54dp.png) 0}}@media only screen and (-webkit-min-device-pixel-ratio:2){#logo{background:url(//www.google.com/images/branding/googlelogo/2x/googlelogo_color_150x54dp.png) no-repeat;-webkit-background-size:100% 100%}}#logo{display:inline-block;height:54px;width:150px}\n  </style>\n  <a href=//www.google.com/><span id=logo aria-label=Google></span></a>\n  <p><b>404.</b> <ins>That\xe2\x80\x99s an error.</ins>\n  <p>The requested URL <code>/</code> was not found on this server.  <ins>That\xe2\x80\x99s all we know.</ins>\n'
03-06 23:20 INFO     b'GET http://pubads.g.doubleclick.net HTTP/1.1\r\nUser-Agent: Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/32.0.1700.102 Safari/537.36\r\nHost: pubads.g.doubleclick.net\r\nConnection: Keep-Alive\r\nAccept-Encoding: gzip\r\n\r\n'
03-06 23:20 INFO     b'HTTP/1.1 301 Moved Permanently\r\nLocation: http://www.doubleclickbygoogle.com/\r\nContent-Type: text/html; charset=UTF-8\r\nX-Content-Type-Options: nosniff\r\nDate: Sun, 28 Feb 2016 10:35:48 GMT\r\nExpires: Tue, 29 Mar 2016 10:35:48 GMT\r\nServer: sffe\r\nContent-Length: 232\r\nX-XSS-Protection: 1; mode=block\r\nCache-Control: public, max-age=2592000\r\nAge: 679474\r\n\r\n<HTML><HEAD><meta http-equiv="content-type" content="text/html;charset=utf-8">\n<TITLE>301 Moved</TITLE></HEAD><BODY>\n<H1>301 Moved</H1>\nThe document has moved\n<A HREF="http://www.doubleclickbygoogle.com/">here</A>.\r\n</BODY></HTML>\r\n'
03-06 23:20 INFO     b'GET http://pubads.g.doubleclick.net HTTP/1.1\r\nHost: pubads.g.doubleclick.net\r\nConnection: Keep-Alive\r\nUser-Agent: Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/32.0.1700.102 Safari/537.36\r\n\r\n'
03-06 23:20 INFO     b'HTTP/1.1 301 Moved Permanently\r\nLocation: http://www.doubleclickbygoogle.com/\r\nContent-Type: text/html; charset=UTF-8\r\nX-Content-Type-Options: nosniff\r\nDate: Sun, 28 Feb 2016 10:35:48 GMT\r\nExpires: Tue, 29 Mar 2016 10:35:48 GMT\r\nServer: sffe\r\nContent-Length: 232\r\nX-XSS-Protection: 1; mode=block\r\nCache-Control: public, max-age=2592000\r\nAge: 679474\r\n\r\n<HTML><HEAD><meta http-equiv="content-type" content="text/html;charset=utf-8">\n<TITLE>301 Moved</TITLE></HEAD><BODY>\n<H1>301 Moved</H1>\nThe document has moved\n<A HREF="http://www.doubleclickbygoogle.com/">here</A>.\r\n</BODY></HTML>\r\n'
03-06 23:20 INFO     b'GET http://www.doubleclickbygoogle.com/ HTTP/1.1\r\nHost: www.doubleclickbygoogle.com\r\nConnection: Keep-Alive\r\nUser-Agent: Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/32.0.1700.102 Safari/537.36\r\n\r\n'
